experiment,random_best,sobol_best,smart_best
1,34.818242369142155,72.34247212394615,72.34247212394615
2,34.818242369142155,72.34247212394615,72.34247212394615
3,64.60036316538417,72.34247212394615,72.34247212394615
4,65.81118339240892,72.34247212394615,72.34247212394615
5,65.81118339240892,72.34247212394615,72.34247212394615
6,65.81118339240892,72.34247212394615,72.34247212394615
7,65.81118339240892,72.34247212394615,72.34247212394615
8,69.6205768667695,72.34247212394615,72.34247212394615
9,69.6205768667695,72.34247212394615,72.34247212394615
10,69.6205768667695,72.34247212394615,72.34247212394615
11,69.6205768667695,72.34247212394615,72.34247212394615
12,69.6205768667695,72.34247212394615,72.34247212394615
13,69.6205768667695,72.34247212394615,72.34247212394615
14,69.6205768667695,72.34247212394615,72.34247212394615
15,69.6205768667695,72.34247212394615,72.34247212394615
16,69.6205768667695,72.34247212394615,72.34247212394615
17,69.6205768667695,72.34247212394615,72.34247212394615
18,69.6205768667695,72.34247212394615,72.34247212394615
19,69.6205768667695,72.34247212394615,72.34247212394615
20,69.6205768667695,72.34247212394615,72.34247212394615
21,69.6205768667695,72.34247212394615,93.30463189178133
22,69.6205768667695,72.34247212394615,93.30463189178133
23,69.6205768667695,72.34247212394615,93.30463189178133
24,69.6205768667695,72.34247212394615,93.30463189178133
25,69.6205768667695,72.34247212394615,133.27508069767129
26,69.6205768667695,72.34247212394615,133.27508069767129
27,69.6205768667695,72.34247212394615,133.27508069767129
28,69.6205768667695,72.34247212394615,133.27508069767129
29,69.6205768667695,72.34247212394615,163.687976647126
30,69.6205768667695,72.34247212394615,163.687976647126
31,69.6205768667695,72.34247212394615,163.687976647126
32,69.6205768667695,72.34247212394615,163.687976647126
33,69.6205768667695,72.34247212394615,167.29974543695985
34,69.6205768667695,72.34247212394615,167.29974543695985
35,69.6205768667695,72.34247212394615,167.29974543695985
36,69.6205768667695,72.34247212394615,167.29974543695985
37,69.6205768667695,72.34247212394615,184.85931962582737
38,69.6205768667695,72.34247212394615,184.85931962582737
39,69.6205768667695,72.34247212394615,184.85931962582737
40,69.6205768667695,72.34247212394615,184.85931962582737
41,69.6205768667695,72.34247212394615,184.85931962582737
42,150.65989027768757,72.34247212394615,184.85931962582737
43,150.65989027768757,72.34247212394615,184.85931962582737
44,150.65989027768757,72.34247212394615,184.85931962582737
45,150.65989027768757,72.34247212394615,184.85931962582737
46,150.65989027768757,72.34247212394615,184.85931962582737
47,150.65989027768757,72.34247212394615,184.85931962582737
48,150.65989027768757,72.34247212394615,184.85931962582737
49,150.65989027768757,72.34247212394615,184.85931962582737
50,150.65989027768757,72.34247212394615,184.85931962582737
51,150.65989027768757,72.34247212394615,184.85931962582737
52,150.65989027768757,72.34247212394615,184.85931962582737
53,150.65989027768757,72.34247212394615,184.85931962582737
54,150.65989027768757,72.34247212394615,184.85931962582737
55,150.65989027768757,72.34247212394615,184.85931962582737
56,150.65989027768757,72.34247212394615,184.85931962582737
57,150.65989027768757,72.34247212394615,184.85931962582737
58,150.65989027768757,72.34247212394615,184.85931962582737
59,150.65989027768757,72.34247212394615,184.85931962582737
60,150.65989027768757,72.34247212394615,184.85931962582737
