run,seed,random_score,smart_score,smart_minus_random,improvement_pct,winner,target_score,random_experiments_to_target,smart_experiments_to_target,random_auc,smart_auc,smart_trials_run
1,100,146.99344355066722,178.80983872544388,31.81639517477666,21.64477163487217,smart,177.02174033818943,,32,146.99344355066728,126.34643492003127,40
2,101,62.70595976759139,174.43156598166735,111.72560621407595,178.17382371335557,smart,172.68725032185068,,36,58.51927833996356,138.0586869404802,40
3,102,155.04840326372013,151.90242842217955,-3.1459748415405784,-2.0290275651466234,random,153.49791923108293,4,,151.03703417608867,142.56889960141658,40
