seed,random_score,sobol_score,smart_score,smart_minus_random,smart_minus_sobol,winner,target_score,random_hit,sobol_hit,smart_hit,random_penalized,sobol_penalized,smart_penalized,random_auc,sobol_auc,smart_auc,random_wall_s,sobol_wall_s,smart_wall_s,smart_trials_run,candidate_throughput,model_total_s,candidate_scoring_s,optimized_fits,warm_only_fits,scipy_warnings,fallback_fits
200,110.62240288651705,100.03482461410611,130.4053214116688,19.782918525151757,30.370496797562694,smart,129.10126819755212,,,41,61,61,41,94.13971932883709,100.03482461410609,110.07253118279206,0.001150399970356375,0.009070900036022067,15.369884299987461,60,384124.63584606134,3.6519240000634454,10.413286799972411,10,30,0,0
201,97.10029639676343,126.57181999772249,153.59558076875356,56.49528437199014,27.02376077103108,smart,152.05962496106602,,,60,61,61,60,79.22792364934979,86.29546479898251,86.6423673898242,0.00119420001283288,0.001574500056449324,12.874950899975374,60,397522.4532403238,2.724299000168685,10.06232469988754,10,30,0,0
202,113.30265651673496,133.33728132609676,178.2903660666868,64.98770954995184,44.95308474059004,smart,176.50746240601993,,,29,61,61,29,92.87891360060591,110.57648807646548,135.55534149654116,0.0010994999902322888,0.0013491000281646848,12.39260339998873,60,397420.73149726394,2.2372977000195533,10.064900200173724,10,30,0,0
203,72.69034614678978,109.49357994014335,178.30523057940457,105.61488443261479,68.81165063926122,smart,176.5221782736105,,,51,61,61,51,70.01957955693055,99.27641398215194,113.99579276918062,0.001101600006222725,0.0013853000127710402,12.89131289999932,60,401537.72887417814,2.840203499828931,9.961704000306781,10,30,0,0
204,86.54988595171295,102.17746296900485,142.76246286914744,56.21257691743449,40.58499990014259,smart,141.33483824045595,,,56,61,61,56,84.31247903827467,96.35066556395448,111.65352723325456,0.001112900034058839,0.0014527000021189451,12.734560500015505,60,402563.8364857628,2.7099623997928575,9.936312299978454,10,30,0,0
205,74.30939323471912,104.45523960580836,179.18282987821453,104.87343664349541,74.72759027240618,smart,177.39100157943238,,,46,61,61,46,70.55484094967194,83.63673567895626,132.52811439507087,0.0013046000385656953,0.001401799963787198,12.100594199961051,60,421515.5532675402,2.5232352999737486,9.489566800068133,10,30,0,0
206,79.4133511696153,77.59104676219187,118.19650580279594,38.783154633180644,40.605459040604075,smart,117.01454074476798,,,57,61,61,57,72.65713569300202,73.60870709800189,81.62672104131003,0.0015716000343672931,0.0015776999644003808,12.772052699991036,60,409187.84661989805,2.9089961001300253,9.77546140004415,10,30,0,0
207,97.43980412036034,85.59259885262564,173.71080002021327,76.27099589985293,88.11820116758763,smart,171.97369202001113,,,39,61,61,39,90.87206026101481,76.98541874121894,121.10325981733389,0.0014198000426404178,0.0014049999881535769,11.997017899993807,60,418776.8395370201,2.3568529997137375,9.55162660003407,10,30,0,0
208,86.75705410295059,117.75753353481,121.57334947373222,34.81629537078163,3.8158159389222277,smart,120.3576159789949,,,31,61,61,31,76.77663731796152,97.34523691170719,101.54794926170794,0.0012835999950766563,0.0013412999687716365,12.570060199999716,60,412587.2872356994,2.787290500011295,9.694918199733365,10,30,0,0
209,101.09488460256925,85.93266542814439,129.79115398851417,28.696269385944916,43.85848856036978,smart,128.49324244862902,,,59,61,61,59,78.90446170736348,84.53317380863437,95.51945427602762,0.0010649999603629112,0.0016690000193193555,12.643849700049032,60,405391.33996783395,2.6875860997242853,9.867009000037797,10,30,0,0
210,82.84232088035665,74.51060882540224,123.99183474486044,41.14951386450379,49.4812259194582,smart,122.75191639741183,,,57,61,61,57,82.84232088035665,70.41274855170347,87.30220747174111,0.0010987999849021435,0.0013691000058315694,12.701237600005697,60,415608.3762008188,2.988701299764216,9.624445100373123,10,30,0,0
211,93.7626855291959,91.21558990275363,167.7104549541597,73.9477694249638,76.49486505140607,smart,166.0333504046181,,,34,61,61,34,86.82697050598455,75.08658380608478,124.03793381788483,0.0011260000173933804,0.0014778999611735344,12.03557099995669,60,416548.08063213265,2.3445425998652354,9.6027330000652,10,30,0,0
212,112.08014441234423,79.76311843767061,159.36898396813703,47.288839555792805,79.60586553046642,smart,157.77529412845567,,,37,61,61,37,106.75719788561366,75.14543645639385,108.2646176421255,0.0010957999620586634,0.0013081000070087612,11.893370900012087,60,428994.48454316804,2.4791307999403216,9.324129200074822,10,30,0,0
213,100.19187284621825,84.28580881518234,80.92617957614469,-19.265693270073555,-3.3596292390376448,random,99.18995411775606,9,,,9,61,61,97.07543082304007,66.25555216242806,68.4402029756585,0.0011014000046998262,0.0013741999864578247,11.910439200000837,60,423836.16892819165,2.386231099953875,9.437608899956103,10,30,0,0
214,126.33156164275579,107.72624338460555,159.93816183331717,33.60660019056138,52.211918448711614,smart,158.33878021498398,,,54,61,61,54,93.1626269551816,77.2738617518912,95.39031733255428,0.0012694000033661723,0.0015940000303089619,12.200692599988542,60,420034.70178991277,2.5902111001196317,9.523022700159345,10,30,0,0
