benchmark,seed,random,sobol,legacy,robust,robust_minus_legacy,robust_minus_random,robust_minus_sobol,winner,legacy_wall_s,robust_wall_s,recoveries,robust_warnings,robust_fallbacks
multimodal,600,124.07191475276996,89.15907854730614,96.33621141043692,89.15907854730614,-7.17713286313078,-34.91283620546382,0.0,random,15.540833099978045,17.13777289999416,1,0,0
multimodal,601,134.15475437112352,53.02846456663957,134.29546865124328,131.85465209566303,-2.4408165555802555,-2.300102275460489,78.82618752902346,legacy,13.562377599999309,20.040192599990405,2,0,0
multimodal,602,113.59009106720305,78.34719743897112,105.01437690227064,92.2782644976981,-12.736112404572538,-21.311826569504944,13.931067058726981,random,13.796726499975193,20.72217979998095,2,0,0
narrow_optimum,600,58.94529060467669,81.37565947126747,105.5085669436995,81.37565947126747,-24.132907472432038,22.430368866590776,0.0,legacy,13.289576400013175,15.004859799984843,1,0,0
narrow_optimum,601,88.18976967530003,54.38682648958099,49.16128708006712,49.16128708006712,0.0,-39.02848259523291,-5.225539409513871,random,14.00748949998524,15.381747600040399,1,0,0
narrow_optimum,602,56.8938232383687,37.966036655683475,55.83412028178263,70.24287653860058,14.408756256817952,13.349053300231887,32.27683988291711,robust,14.327815200027544,22.344191499985754,2,0,0
constrained_islands,600,42.312332113265214,63.381785299777384,86.2906002965205,53.63012426365598,-32.660476032864516,11.317792150390765,-9.751661036121405,legacy,14.168450299999677,18.64354620000813,2,0,0
constrained_islands,601,41.377147608482446,85.53650580344117,111.44853133598363,86.73150667764621,-24.717024658337422,45.35435906916376,1.1950008742050358,legacy,14.301662600017153,20.27198690001387,2,0,0
constrained_islands,602,66.43957571780612,63.211240512301075,81.77804061035295,63.211240512301075,-18.56680009805187,-3.228335205505047,0.0,legacy,15.195528200012632,15.294217100017704,1,0,0
deceptive_local,600,74.24739179721104,93.4124277270782,131.08453293623893,93.4124277270782,-37.67210520916073,19.16503592986716,0.0,legacy,14.016070499958005,15.862298300024122,1,0,0
deceptive_local,601,98.59203039621565,78.50104659675094,120.68236568704371,63.9863628897089,-56.69600279733481,-34.60566750650675,-14.514683707042039,legacy,14.625048399961088,15.323028600018006,1,0,0
deceptive_local,602,88.92067264718072,48.630713715705014,117.1131642477868,102.86379649344477,-14.249367754342032,13.943123846264044,54.23308277773975,legacy,14.964586800022516,18.114242499985266,3,0,0
flat_plateau,600,135.43532713520807,92.70087096308647,155.8599407372773,92.70087096308647,-63.159069774190826,-42.7344561721216,0.0,legacy,14.274076999980025,15.987182299955748,1,0,0
flat_plateau,601,138.67611091177972,53.31143173590517,37.911511465853486,120.63311649068434,82.72160502483086,-18.042994421095372,67.32168475477917,random,15.111556999967434,19.06315539998468,2,0,0
flat_plateau,602,127.16874942779235,121.77861857195172,161.51872916743235,65.90897593168535,-95.60975323574701,-61.259773496107,-55.86964264026638,legacy,14.02253420004854,15.195786999945994,1,0,0
mixed_sensitivity,600,143.91107334208252,72.7293965597792,65.29578365190271,65.29578365190271,0.0,-78.61528969017981,-7.433612907876494,random,14.631819700007327,15.79728509997949,1,0,0
mixed_sensitivity,601,101.93182046882254,70.26029664733298,70.26029664733298,70.26029664733298,0.0,-31.671523821489558,0.0,random,14.27982040005736,16.061412299983203,1,0,0
mixed_sensitivity,602,85.66529541914639,60.80967913370134,91.49064622803593,57.56948193252226,-33.92116429551367,-28.09581348662413,-3.240197201179079,legacy,14.246773799997754,15.938790699990932,1,0,0
