benchmark,seed,random,sobol,legacy,v027,v027_minus_legacy,v027_minus_random,v027_minus_sobol,winner,legacy_wall_s,v027_wall_s,v027_recoveries,v027_warnings,v027_fallbacks,v027_trials
multimodal,600,124.07191475276996,89.15907854730614,96.33621141043692,89.15907854730614,-7.17713286313078,-34.91283620546382,0.0,random,16.4435101999552,26.76921709999442,8,0,0,80
multimodal,601,134.15475437112352,53.02846456663957,134.29546865124328,73.63416934351606,-60.66129930772722,-60.52058502760745,20.605704776876493,legacy,13.964390099979937,24.075249100045767,5,0,0,80
multimodal,602,113.59009106720305,78.34719743897112,105.01437690227064,128.4519213728178,23.437544470547152,14.861830305614745,50.10472393384667,v027,15.954535200027749,24.39051549998112,6,0,0,80
narrow_optimum,600,58.94529060467669,81.37565947126747,105.5085669436995,109.29027802469312,3.7817110809936167,50.34498742001643,27.914618553425655,v027,13.815419499995187,26.200314400019124,5,0,0,80
narrow_optimum,601,88.18976967530003,54.38682648958099,49.16128708006712,100.71496928322094,51.55368220315382,12.52519960792091,46.32814279363995,v027,15.631660400016699,26.243041099980474,7,0,0,80
narrow_optimum,602,56.8938232383687,37.966036655683475,55.83412028178263,42.73370776813885,-13.100412513643782,-14.160115470229847,4.767671112455375,random,15.605538700008765,23.813898499996867,7,0,0,80
constrained_islands,600,42.312332113265214,63.381785299777384,86.2906002965205,105.01432507106439,18.723724774543896,62.70199295779918,41.63253977128701,v027,14.653882200014777,21.65320309996605,7,0,0,80
constrained_islands,601,41.377147608482446,85.53650580344117,111.44853133598363,115.98502359483386,4.536492258850231,74.60787598635142,30.44851779139269,v027,12.534770799975377,21.668237300007604,3,0,0,80
constrained_islands,602,66.43957571780612,63.211240512301075,81.77804061035295,116.46239496439789,34.68435435404494,50.022819246591766,53.25115445209681,v027,14.119221200002357,23.13974190002773,6,0,0,80
deceptive_local,600,74.24739179721104,93.4124277270782,131.08453293623893,137.49113757791957,6.406604641680644,63.24374578070854,44.07870985084138,v027,14.197546000010334,22.943055399984587,3,0,0,80
deceptive_local,601,98.59203039621565,78.50104659675094,120.68236568704371,138.00492101663374,17.32255532959003,39.412890620418096,59.503874419882806,v027,14.414083699986804,23.68361350003397,3,0,0,80
deceptive_local,602,88.92067264718072,48.630713715705014,117.1131642477868,136.81550444022136,19.702340192434562,47.89483179304064,88.18479072451635,v027,14.936187500017695,23.767246699950192,2,0,0,80
flat_plateau,600,135.43532713520807,92.70087096308647,155.8599407372773,160.9799264630925,5.119985725815212,25.54459932788444,68.27905550000604,v027,14.875382300000638,24.031485999992583,4,0,0,80
flat_plateau,601,138.67611091177972,53.31143173590517,37.911511465853486,53.05203194396399,15.140520478110503,-85.62407896781573,-0.2593997919411777,random,16.103820600023028,25.142231700010598,7,0,0,80
flat_plateau,602,127.16874942779235,121.77861857195172,161.51872916743235,163.27729710518443,1.7585679377520762,36.10854767739208,41.498678533232706,v027,15.777475300012156,26.83039329998428,4,0,0,80
mixed_sensitivity,600,143.91107334208252,72.7293965597792,65.29578365190271,145.67998323927554,80.38419958737283,1.7689098971930264,72.95058667949634,v027,16.393858600000385,26.54193240002496,6,0,0,80
mixed_sensitivity,601,101.93182046882254,70.26029664733298,70.26029664733298,143.4413737916123,73.18107714427933,41.50955332278977,73.18107714427933,v027,16.287926899967715,26.302576999994926,7,0,0,80
mixed_sensitivity,602,85.66529541914639,60.80967913370134,91.49064622803593,64.87740717034872,-26.61323905768721,-20.78788824879767,4.067728036647381,legacy,15.007489799987525,25.237768899998628,7,0,0,80
